mac,time,a,b,c,d,e,range,,f,status,g
e4:b3:18:9f:c1:4e,1496395330372013,0,0,0,0,0,0,0,0,FAILURE,856926902013
e4:b3:18:9f:c1:99,1496395330543934,0,0,0,0,0,0,0,0,FAILURE,856927073934
e4:b3:18:9f:bf:af,1496395331351819,0,0,0,0,0,0,0,0,FAILURE,856927881819
e4:b3:18:9f:c0:36,1496395331351814,0,0,0,0,0,0,0,0,FAILURE,856927881814
e4:b3:18:9f:bf:96,1496395331351864,0,0,0,0,0,0,0,0,FAILURE,856927881864
e4:b3:18:9f:c1:8f,1496395331351803,0,0,0,0,0,0,0,0,FAILURE,856927881803
e4:b3:18:9f:c0:04,1496395331339456,66,0,0,0,0,978,0,0,SUCCESS,856927869456
e4:b3:18:9f:c0:18,1496395331398341,81,0,0,0,0,2519,0,0,SUCCESS,856927928341
e4:b3:18:9f:bf:87,1496395331923821,0,0,0,0,0,0,0,0,FAILURE,856928453821
e4:b3:18:9f:c0:b3,1496395331923869,0,0,0,0,0,0,0,0,FAILURE,856928453869
44:85:00:c5:69:d5,1496395331923810,0,0,0,0,0,0,0,0,FAILURE,856928453810
44:85:00:c5:67:3c,1496395331923818,0,0,0,0,0,0,0,0,FAILURE,856928453818
e4:b3:18:9f:bf:b4,1496395331978617,86,0,0,0,0,726,0,0,SUCCESS,856928508616
44:85:00:c5:6c:19,1496395331991925,65,0,0,0,0,674,0,0,SUCCESS,856928521925
44:85:00:c5:69:a8,1496395332005174,70,0,0,0,0,625,0,0,SUCCESS,856928535174
44:85:00:c5:67:37,1496395332036211,68,0,0,0,0,858,0,0,SUCCESS,856928566211
e4:b3:18:9f:c1:4e,1496395332176694,0,0,0,0,0,0,0,0,FAILURE,856928706694
e4:b3:18:9f:c1:99,1496395332345930,0,0,0,0,0,0,0,0,FAILURE,856928875930
e4:b3:18:9f:bf:af,1496395333165843,0,0,0,0,0,0,0,0,FAILURE,856929695842
e4:b3:18:9f:c0:36,1496395333165837,0,0,0,0,0,0,0,0,FAILURE,856929695837
e4:b3:18:9f:bf:96,1496395333165830,0,0,0,0,0,0,0,0,FAILURE,856929695830
e4:b3:18:9f:c1:8f,1496395333165851,0,0,0,0,0,0,0,0,FAILURE,856929695851
e4:b3:18:9f:c0:04,1496395333151617,62,0,0,0,0,1037,0,0,SUCCESS,856929681617
e4:b3:18:9f:c0:18,1496395333210110,80,0,0,0,0,2464,0,0,SUCCESS,856929740110
e4:b3:18:9f:bf:87,1496395333735050,0,0,0,0,0,0,0,0,FAILURE,856930265050
e4:b3:18:9f:c0:b3,1496395333734974,0,0,0,0,0,0,0,0,FAILURE,856930264974
44:85:00:c5:69:d5,1496395333734970,0,0,0,0,0,0,0,0,FAILURE,856930264970
44:85:00:c5:67:3c,1496395333734972,0,0,0,0,0,0,0,0,FAILURE,856930264972
e4:b3:18:9f:bf:b4,1496395333772977,81,0,0,0,0,718,0,0,SUCCESS,856930302977
44:85:00:c5:6c:19,1496395333785820,67,0,0,0,0,775,0,0,SUCCESS,856930315819
44:85:00:c5:69:a8,1496395333798429,69,0,0,0,0,601,0,0,SUCCESS,856930328429
44:85:00:c5:67:37,1496395333811044,64,0,0,0,0,825,0,0,SUCCESS,856930341044
e4:b3:18:9f:c1:4e,1496395333951006,0,0,0,0,0,0,0,0,FAILURE,856930481006
e4:b3:18:9f:c1:99,1496395334122869,0,0,0,0,0,0,0,0,FAILURE,856930652868
e4:b3:18:9f:bf:af,1496395334931442,0,0,0,0,0,0,0,0,FAILURE,856931461442
e4:b3:18:9f:c0:36,1496395334931434,0,0,0,0,0,0,0,0,FAILURE,856931461434
e4:b3:18:9f:bf:96,1496395334931428,0,0,0,0,0,0,0,0,FAILURE,856931461428
e4:b3:18:9f:c1:8f,1496395334931421,0,0,0,0,0,0,0,0,FAILURE,856931461421
e4:b3:18:9f:c0:04,1496395334918750,64,0,0,0,0,1062,0,0,SUCCESS,856931448750
e4:b3:18:9f:c0:18,1496395334969684,80,0,0,0,0,2349,0,0,SUCCESS,856931499684
e4:b3:18:9f:bf:87,1496395335494296,0,0,0,0,0,0,0,0,FAILURE,856932024296
e4:b3:18:9f:c0:b3,1496395335494288,0,0,0,0,0,0,0,0,FAILURE,856932024288
44:85:00:c5:69:d5,1496395335494298,0,0,0,0,0,0,0,0,FAILURE,856932024298
44:85:00:c5:67:3c,1496395335494281,0,0,0,0,0,0,0,0,FAILURE,856932024281
e4:b3:18:9f:bf:b4,1496395335529194,81,0,0,0,0,670,0,0,SUCCESS,856932059194
44:85:00:c5:6c:19,1496395335542423,64,0,0,0,0,701,0,0,SUCCESS,856932072423
44:85:00:c5:69:a8,1496395335555522,70,0,0,0,0,576,0,0,SUCCESS,856932085522
