mac,time,a,b,c,d,e,range,,f,status,g
44:85:00:c5:69:d5,1496400001251750,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496400001251779,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496400001291012,79,0,0,0,0,918,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496400001303754,70,0,0,0,0,912,0,0,SUCCESS,8.62E+11
44:85:00:c5:69:a8,1496400001316724,70,0,0,0,0,689,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496400001329440,69,0,0,0,0,674,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496400001469237,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496400001641914,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496400002455160,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496400002455151,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496400002455150,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496400002455142,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496400002442193,69,0,0,0,0,1245,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496400002501221,80,0,0,0,0,2384,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496400003024714,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496400003024709,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496400003024702,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:67:3c,1496400003024699,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:b4,1496400003070275,79,0,0,0,0,879,0,0,SUCCESS,8.62E+11
44:85:00:c5:6c:19,1496400003090962,69,0,0,0,0,969,0,0,SUCCESS,8.62E+11
44:85:00:c5:69:a8,1496400003123821,70,0,0,0,0,669,0,0,SUCCESS,8.62E+11
44:85:00:c5:67:37,1496400003136371,66,0,0,0,0,691,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c1:4e,1496400003284011,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:99,1496400003456151,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:af,1496400004265502,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:36,1496400004265496,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:bf:96,1496400004265493,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c1:8f,1496400004265543,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:04,1496400004253476,69,0,0,0,0,1233,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:c0:18,1496400004309484,83,0,0,0,0,2437,0,0,SUCCESS,8.62E+11
e4:b3:18:9f:bf:87,1496400004834254,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
e4:b3:18:9f:c0:b3,1496400004834251,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
44:85:00:c5:69:d5,1496400004834245,0,0,0,0,0,0,0,0,FAILURE,8.62E+11
